
17/08/2021 09:26:39 3.34  109.07 29.78 110.81 8.43

17/08/2021 09:26:43 2.52  109.02 29.76 110.81 8.46

17/08/2021 09:26:48 3.04  109.16 29.76 110.81 8.46

17/08/2021 09:26:52 3.34  109.02 29.84 110.81 8.41

17/08/2021 09:26:56 3.34  109.02 29.78 110.81 8.48

17/08/2021 09:27:00 2.83  109.07 29.73 110.81 8.43

17/08/2021 09:27:04 2.80  109.12 29.76 110.81 8.41

17/08/2021 09:27:08 3.34  109.16 29.76 110.81 8.48

17/08/2021 09:27:12 3.33  109.02 29.76 110.81 8.48

17/08/2021 09:27:16 2.85  108.97 29.70 110.81 8.46

17/08/2021 09:27:20 2.85  109.16 29.76 110.81 8.41

17/08/2021 09:27:24 3.34  109.07 29.81 110.81 8.55

17/08/2021 09:27:28 3.34  109.16 29.78 110.81 8.46

17/08/2021 09:27:32 3.28  109.02 29.73 110.81 8.41

17/08/2021 09:27:36 2.38  108.97 29.78 110.81 8.48

17/08/2021 09:27:40 3.34  109.07 29.76 110.81 8.46

17/08/2021 09:27:44 3.37  109.07 29.76 110.81 8.48

17/08/2021 09:27:48 3.33  109.16 29.76 110.81 8.46

17/08/2021 09:27:52 2.40  109.16 29.78 110.81 8.46

17/08/2021 09:27:56 3.34  109.26 29.78 110.81 8.41

17/08/2021 09:28:01 3.34  109.16 29.78 110.81 8.46

17/08/2021 09:28:05 3.34  109.12 29.76 110.81 8.46

17/08/2021 09:28:09 2.43  109.16 29.78 110.81 8.46

17/08/2021 09:28:13 3.33  109.16 29.81 110.81 8.46

17/08/2021 09:28:17 3.35  109.12 29.76 110.81 8.41

17/08/2021 09:28:21 3.34  109.02 29.76 110.81 8.46

17/08/2021 09:28:25 2.38  109.12 29.76 110.81 8.48

17/08/2021 09:28:29 3.34  108.97 29.76 110.81 8.46

17/08/2021 09:28:33 3.31  109.16 29.73 110.81 8.46

17/08/2021 09:28:37 3.34  109.21 29.73 110.76 8.48

17/08/2021 09:28:41 2.40  109.26 29.76 110.81 8.39

17/08/2021 09:28:45 3.33  109.12 29.73 110.81 8.48

17/08/2021 09:28:49 3.33  109.26 29.76 110.81 8.41

17/08/2021 09:28:53 2.34  109.21 29.78 110.81 8.43

